Sorgu,Label,Recete
Yapraklara baktığımda damarlar boyunca uzanan gri çizgiler belirtileri hakkında bilgi verir misin? fark ediyorum.,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Teşhis: Mısır Gri Yaprak Lekesi (Cercospora). Kültürel Önlemler: Hasat sonrası bitki artıklarını derine gömün veya tarladan uzaklaştırın. Münavebe (ekim nöbeti) uygulayarak üst üste mısır ekmeyin. Dayanıklı çeşitler tercih edin. Kimyasal Mücadele: Hastalık belirtileri ilk görüldüğünde tescilli fungisitler (mantar ilaçları) ile ilaçlama yapılmalıdır.
"Çiftçi arkadaşlara sordum, gri yaprak lekesi domateslerimi sarmaya başladı. dediler.",Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Teşhis: Mısır Gri Yaprak Lekesi (Cercospora). Kültürel Önlemler: Hasat sonrası bitki artıklarını derine gömün veya tarladan uzaklaştırın. Münavebe (ekim nöbeti) uygulayarak üst üste mısır ekmeyin. Dayanıklı çeşitler tercih edin. Kimyasal Mücadele: Hastalık belirtileri ilk görüldüğünde tescilli fungisitler (mantar ilaçları) ile ilaçlama yapılmalıdır.
"Dikdörtgen gri lekeler teşhisi koydum, doğru mu?",Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Teşhis: Mısır Gri Yaprak Lekesi (Cercospora). Kültürel Önlemler: Hasat sonrası bitki artıklarını derine gömün veya tarladan uzaklaştırın. Münavebe (ekim nöbeti) uygulayarak üst üste mısır ekmeyin. Dayanıklı çeşitler tercih edin. Kimyasal Mücadele: Hastalık belirtileri ilk görüldüğünde tescilli fungisitler (mantar ilaçları) ile ilaçlama yapılmalıdır.
Yeni çıkan yapraklarda dikdörtgen gri lekeler görüyorum.,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Teşhis: Mısır Gri Yaprak Lekesi (Cercospora). Kültürel Önlemler: Hasat sonrası bitki artıklarını derine gömün veya tarladan uzaklaştırın. Münavebe (ekim nöbeti) uygulayarak üst üste mısır ekmeyin. Dayanıklı çeşitler tercih edin. Kimyasal Mücadele: Hastalık belirtileri ilk görüldüğünde tescilli fungisitler (mantar ilaçları) ile ilaçlama yapılmalıdır.
Acil yardım! bitkide dikdörtgen gri lekeler var.,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Teşhis: Mısır Gri Yaprak Lekesi (Cercospora). Kültürel Önlemler: Hasat sonrası bitki artıklarını derine gömün veya tarladan uzaklaştırın. Münavebe (ekim nöbeti) uygulayarak üst üste mısır ekmeyin. Dayanıklı çeşitler tercih edin. Kimyasal Mücadele: Hastalık belirtileri ilk görüldüğünde tescilli fungisitler (mantar ilaçları) ile ilaçlama yapılmalıdır.
Gri yaprak lekesi domateslerimi sarmaya başladı.,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Teşhis: Mısır Gri Yaprak Lekesi (Cercospora). Kültürel Önlemler: Hasat sonrası bitki artıklarını derine gömün veya tarladan uzaklaştırın. Münavebe (ekim nöbeti) uygulayarak üst üste mısır ekmeyin. Dayanıklı çeşitler tercih edin. Kimyasal Mücadele: Hastalık belirtileri ilk görüldüğünde tescilli fungisitler (mantar ilaçları) ile ilaçlama yapılmalıdır.
Sanırım bitkimde bir sorun var: dikdörtgen gri lekeler ile nasıl mücadele edilir?.,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Teşhis: Mısır Gri Yaprak Lekesi (Cercospora). Kültürel Önlemler: Hasat sonrası bitki artıklarını derine gömün veya tarladan uzaklaştırın. Münavebe (ekim nöbeti) uygulayarak üst üste mısır ekmeyin. Dayanıklı çeşitler tercih edin. Kimyasal Mücadele: Hastalık belirtileri ilk görüldüğünde tescilli fungisitler (mantar ilaçları) ile ilaçlama yapılmalıdır.
Bitkimde gri yaprak lekesi fark ettim.,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Teşhis: Mısır Gri Yaprak Lekesi (Cercospora). Kültürel Önlemler: Hasat sonrası bitki artıklarını derine gömün veya tarladan uzaklaştırın. Münavebe (ekim nöbeti) uygulayarak üst üste mısır ekmeyin. Dayanıklı çeşitler tercih edin. Kimyasal Mücadele: Hastalık belirtileri ilk görüldüğünde tescilli fungisitler (mantar ilaçları) ile ilaçlama yapılmalıdır.
Tarladaki yapraklarda dikdörtgen gri lekeler yayıldı.,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Teşhis: Mısır Gri Yaprak Lekesi (Cercospora). Kültürel Önlemler: Hasat sonrası bitki artıklarını derine gömün veya tarladan uzaklaştırın. Münavebe (ekim nöbeti) uygulayarak üst üste mısır ekmeyin. Dayanıklı çeşitler tercih edin. Kimyasal Mücadele: Hastalık belirtileri ilk görüldüğünde tescilli fungisitler (mantar ilaçları) ile ilaçlama yapılmalıdır.
"Maalesef bahçedeki bitkide dikdörtgen gri lekeler oluştu, teşhis nedir?, ne yapmam gerekiyor?",Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Teşhis: Mısır Gri Yaprak Lekesi (Cercospora). Kültürel Önlemler: Hasat sonrası bitki artıklarını derine gömün veya tarladan uzaklaştırın. Münavebe (ekim nöbeti) uygulayarak üst üste mısır ekmeyin. Dayanıklı çeşitler tercih edin. Kimyasal Mücadele: Hastalık belirtileri ilk görüldüğünde tescilli fungisitler (mantar ilaçları) ile ilaçlama yapılmalıdır.
"Yardımcı olur musunuz, bitki yapraklarının üzerinde dikdörtgen gri lekeler görüyorum..",Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Teşhis: Mısır Gri Yaprak Lekesi (Cercospora). Kültürel Önlemler: Hasat sonrası bitki artıklarını derine gömün veya tarladan uzaklaştırın. Münavebe (ekim nöbeti) uygulayarak üst üste mısır ekmeyin. Dayanıklı çeşitler tercih edin. Kimyasal Mücadele: Hastalık belirtileri ilk görüldüğünde tescilli fungisitler (mantar ilaçları) ile ilaçlama yapılmalıdır.
